iter	MultiClass
0	1.479666194
1	1.378215908
2	1.290272252
3	1.220372261
4	1.162518342
5	1.10517731
6	1.055229279
7	1.012997284
8	0.9743718051
9	0.9380427108
10	0.9061310752
11	0.8743818894
12	0.8492005012
13	0.8242022534
14	0.8012897559
15	0.7775245138
16	0.7558028485
17	0.7351964757
18	0.7181113386
19	0.7014816759
20	0.6857546205
21	0.6703506007
22	0.6562142107
23	0.6422600292
24	0.6307653816
25	0.6192561013
26	0.6070857448
27	0.5974034417
28	0.5874203782
29	0.5782488178
30	0.5691486496
31	0.5609376678
32	0.5528367566
33	0.5453133202
34	0.537051031
35	0.5291132686
36	0.521481346
37	0.5157224419
38	0.5089054708
39	0.5028247895
40	0.4955837995
41	0.4893349365
42	0.4835076227
43	0.4785442378
44	0.4734241815
45	0.4687188242
46	0.4629760905
47	0.4587645133
48	0.4538842638
49	0.4494018904
50	0.4447344194
51	0.4395969811
52	0.4354817739
53	0.4315438355
54	0.4282298793
55	0.4247584131
56	0.4210506817
57	0.4178893892
58	0.4136928173
59	0.4100471114
60	0.4064556951
61	0.4024816412
62	0.3991269561
63	0.396093256
64	0.3927505939
65	0.3895017388
66	0.386448746
67	0.3837769463
68	0.3802748868
69	0.3771258968
70	0.3732645931
71	0.3700508748
72	0.3671125196
73	0.3651460202
74	0.3629800236
75	0.3595769205
76	0.3568920493
77	0.354782253
78	0.3524068799
79	0.3501743143
80	0.347824385
81	0.3453192757
82	0.3432865103
83	0.3410449508
84	0.3393267628
85	0.3370054929
86	0.3361581539
87	0.3337777712
88	0.332045137
89	0.329949717
90	0.3278573727
91	0.3257852064
92	0.3239614913
93	0.3219832253
94	0.320270373
95	0.3179988959
96	0.3170611285
97	0.3153781239
98	0.3133831982
99	0.3118442128
100	0.3097818327
101	0.3081002495
102	0.306455038
103	0.3047260387
104	0.3033030656
105	0.3017388693
106	0.29996991
107	0.2993118394
108	0.2977671222
109	0.295804747
110	0.2946148701
111	0.2931479294
112	0.2913684849
113	0.2896889288
114	0.2883722983
115	0.2865091824
116	0.2856625424
117	0.2844490857
118	0.2827671995
119	0.2815381549
120	0.2803735589
121	0.2788881643
122	0.2779619072
123	0.2767773894
124	0.2756124905
125	0.2742228835
126	0.2726475031
127	0.2713585766
128	0.2702309815
129	0.2689183587
130	0.2686011716
131	0.2673623175
132	0.2664531861
133	0.2655303775
134	0.2642735122
135	0.2632034456
136	0.2620040856
137	0.2609628414
138	0.2596045267
