iter	Passed	Remaining
0	151	151122
1	190	95176
2	238	79387
3	275	68550
4	321	63986
5	362	60099
6	408	57908
7	445	55234
8	486	53582
9	519	51468
10	564	50739
11	599	49374
12	653	49589
13	690	48608
14	739	48529
15	775	47721
16	813	47037
17	849	46349
18	885	45704
19	922	45188
20	959	44721
21	997	44341
22	1033	43918
23	1077	43834
24	1116	43532
25	1171	43896
26	1220	43984
27	1263	43866
28	1312	43931
29	1350	43675
30	1403	43858
31	1444	43702
32	1493	43768
33	1551	44074
34	1586	43750
35	1645	44050
36	1680	43732
37	1718	43513
38	1757	43296
39	1794	43065
40	1834	42909
41	1872	42703
42	1908	42478
43	1941	42182
44	1981	42060
45	2017	41839
46	2053	41631
47	2088	41420
48	2133	41411
49	2178	41387
50	2218	41275
51	2256	41139
52	2293	40971
53	2334	40903
54	2379	40883
55	2419	40784
56	2458	40680
57	2490	40452
58	2544	40580
59	2584	40494
60	2619	40321
61	2664	40310
62	2711	40329
63	2753	40264
64	2791	40157
65	2827	40019
66	2870	39967
67	2919	40013
68	2966	40027
69	3007	39961
70	3060	40040
71	3108	40065
72	3157	40098
73	3195	39990
74	3266	40292
75	3302	40149
76	3336	39995
77	3369	39827
78	3403	39680
79	3464	39836
80	3508	39805
81	3559	39845
82	3600	39777
83	3635	39640
84	3669	39496
85	3709	39427
86	3742	39270
87	3782	39205
88	3823	39137
89	3862	39051
90	3900	38966
91	3937	38858
92	3973	38748
93	4006	38617
94	4046	38544
95	4103	38639
96	4150	38634
97	4197	38630
98	4250	38682
99	4289	38608
100	4326	38509
101	4364	38422
102	4394	38266
103	4426	38131
104	4464	38057
105	4495	37918
106	4535	37853
107	4571	37759
108	4612	37702
109	4664	37740
110	4698	37627
111	4736	37557
112	4775	37486
113	4816	37435
114	4849	37318
115	4887	37246
116	4922	37150
117	4963	37101
118	5000	37017
119	5030	36888
120	5063	36785
121	5104	36738
122	5145	36689
123	5179	36592
124	5212	36488
125	5252	36432
126	5289	36362
127	5336	36357
128	5372	36274
129	5414	36235
130	5452	36167
131	5482	36048
132	5518	35971
133	5556	35911
134	5595	35853
135	5641	35840
136	5678	35773
137	5708	35655
138	5752	35631
139	5788	35558
140	5829	35511
141	5860	35409
142	5890	35298
143	5928	35241
144	5960	35144
145	6002	35112
146	6041	35057
147	6069	34941
148	6112	34909
149	6158	34899
150	6190	34805
151	6234	34784
152	6288	34814
153	6327	34759
154	6360	34677
155	6393	34589
156	6432	34537
157	6467	34465
158	6505	34409
159	6537	34323
160	6569	34233
161	6604	34163
162	6638	34087
163	6673	34016
164	6704	33929
165	6740	33867
166	6771	33774
167	6803	33691
168	6843	33649
169	6879	33585
170	6915	33527
171	6952	33470
172	6988	33407
173	7038	33411
174	7073	33344
175	7116	33319
176	7148	33236
177	7191	33208
178	7228	33155
179	7264	33092
180	7295	33011
181	7345	33013
182	7377	32936
183	7414	32880
184	7444	32795
185	7472	32703
186	7508	32645
187	7546	32593
188	7577	32516
189	7613	32458
190	7645	32385
191	7677	32309
192	7714	32256
193	7748	32193
194	7785	32139
195	7815	32058
196	7845	31981
197	7881	31925
198	7923	31891
199	7955	31822
200	7992	31771
201	8025	31704
202	8065	31667
203	8099	31602
204	8132	31537
205	8165	31472
206	8196	31401
207	8242	31385
208	8276	31325
209	8309	31259
210	8343	31197
211	8385	31167
212	8419	31110
213	8455	31057
214	8507	31060
215	8536	30982
216	8572	30932
217	8603	30862
218	8638	30806
219	8677	30764
220	8714	30719
221	8749	30663
222	8778	30587
223	8817	30545
224	8849	30482
225	8879	30411
226	8916	30364
227	8949	30302
228	8977	30224
229	9007	30156
230	9042	30102
231	9076	30047
232	9122	30030
233	9152	29960
234	9184	29899
235	9217	29839
236	9258	29806
237	9292	29750
238	9326	29697
239	9371	29675
240	9404	29619
241	9444	29580
242	9483	29543
243	9516	29484
244	9551	29434
245	9583	29373
246	9613	29307
247	9645	29247
248	9675	29181
249	9704	29114
250	9740	29065
251	9777	29023
252	9815	28979
253	9844	28912
254	9884	28878
255	9929	28857
256	9963	28804
257	9998	28755
258	10027	28687
259	10059	28631
260	10096	28586
261	10129	28532
262	10170	28500
263	10201	28441
264	10237	28393
265	10274	28350
266	10310	28304
267	10347	28263
268	10382	28212
269	10416	28163
270	10446	28100
271	10484	28061
272	10524	28027
273	10552	27961
274	10584	27905
275	10617	27852
276	10654	27809
277	10689	27761
278	10723	27712
279	10767	27689
280	10798	27629
281	10835	27587
282	10882	27572
283	10929	27553
284	10964	27508
285	10994	27448
286	11031	27405
287	11064	27354
288	11101	27312
289	11147	27292
290	11176	27231
291	11205	27169
292	11242	27128
293	11278	27084
294	11316	27045
295	11346	26985
296	11376	26927
297	11411	26881
298	11439	26820
299	11470	26764
300	11508	26725
301	11535	26660
302	11574	26625
303	11618	26601
304	11649	26544
305	11678	26487
306	11710	26433
307	11745	26389
308	11776	26335
309	11803	26271
310	11839	26228
311	11870	26177
312	11902	26124
313	11931	26066
314	11965	26020
315	11994	25963
316	12024	25908
317	12063	25872
318	12102	25837
319	12136	25790
320	12169	25741
321	12203	25695
322	12244	25663
323	12276	25614
324	12309	25566
325	12362	25559
326	12398	25517
327	12440	25487
328	12470	25434
329	12501	25381
330	12534	25334
331	12567	25286
332	12600	25237
333	12644	25212
334	12674	25159
335	12704	25106
336	12736	25058
337	12769	25010
338	12807	24973
339	12835	24915
340	12871	24874
341	12907	24833
342	12939	24785
343	12980	24754
344	13010	24701
345	13044	24657
346	13093	24639
347	13126	24593
348	13166	24559
349	13193	24501
350	13225	24453
351	13252	24396
352	13294	24367
353	13341	24347
354	13372	24297
355	13408	24255
356	13444	24214
357	13483	24180
358	13513	24128
359	13551	24090
360	13582	24042
361	13618	24001
362	13648	23950
363	13693	23926
364	13727	23882
365	13760	23837
366	13791	23788
367	13826	23745
368	13867	23713
369	13905	23676
370	13945	23642
371	13979	23600
372	14010	23551
373	14049	23516
374	14083	23472
375	14115	23426
376	14147	23379
377	14178	23329
378	14213	23289
379	14245	23241
380	14282	23203
381	14320	23167
382	14353	23122
383	14381	23070
384	14413	23024
385	14464	23008
386	14502	22971
387	14539	22932
388	14573	22890
389	14607	22847
390	14640	22802
391	14672	22757
392	14710	22721
393	14767	22713
394	14794	22660
395	14827	22615
396	14857	22566
397	14897	22533
398	14926	22483
399	14961	22441
400	15000	22407
401	15034	22364
402	15066	22319
403	15097	22272
404	15126	22223
405	15162	22183
406	15193	22137
407	15218	22082
408	15249	22035
409	15280	21989
410	15309	21939
411	15354	21913
412	15386	21869
413	15417	21822
414	15447	21775
415	15484	21737
416	15514	21689
417	15548	21649
418	15583	21609
419	15619	21569
420	15651	21525
421	15702	21506
422	15749	21483
423	15795	21457
424	15825	21411
425	15856	21365
426	15899	21336
427	15942	21305
428	15975	21262
429	16003	21213
430	16041	21178
431	16080	21142
432	16108	21094
433	16139	21048
434	16175	21009
435	16212	20972
436	16247	20932
437	16279	20888
438	16307	20839
439	16334	20789
440	16365	20744
441	16400	20704
442	16431	20660
443	16470	20625
444	16503	20582
445	16538	20543
446	16570	20499
447	16602	20456
448	16633	20412
449	16676	20382
450	16710	20341
451	16743	20299
452	16797	20282
453	16825	20235
454	16857	20192
455	16900	20162
456	16934	20121
457	16972	20085
458	17006	20044
459	17041	20005
460	17082	19973
461	17113	19928
462	17153	19895
463	17190	19857
464	17227	19820
465	17258	19777
466	17290	19734
467	17322	19691
468	17353	19647
469	17392	19612
470	17423	19568
471	17456	19528
472	17488	19484
473	17527	19449
474	17561	19410
475	17611	19387
476	17646	19348
477	17674	19301
478	17706	19258
479	17747	19226
480	17782	19187
481	17814	19144
482	17846	19102
483	17884	19066
484	17914	19022
485	17948	18982
486	17982	18942
487	18018	18904
488	18059	18871
489	18090	18828
490	18122	18786
491	18153	18743
492	18191	18708
493	18226	18669
494	18258	18627
495	18293	18588
496	18330	18551
497	18363	18511
498	18394	18467
499	18423	18423
500	18454	18381
501	18492	18344
502	18523	18302
503	18558	18264
504	18591	18222
505	18631	18189
506	18665	18150
507	18698	18109
508	18743	18080
509	18775	18039
510	18811	18001
511	18851	17967
512	18886	17929
513	18916	17886
514	18943	17840
515	18982	17805
516	19015	17765
517	19041	17718
518	19073	17676
519	19118	17647
520	19155	17611
521	19197	17578
522	19235	17544
523	19275	17509
524	19319	17479
525	19347	17434
526	19388	17401
527	19429	17368
528	19473	17338
529	19505	17297
530	19542	17260
531	19582	17226
532	19626	17196
533	19664	17160
534	19708	17129
535	19744	17092
536	19778	17053
537	19814	17015
538	19862	16988
539	19902	16953
540	19936	16914
541	19970	16875
542	20001	16833
543	20034	16794
544	20069	16755
545	20097	16711
546	20129	16670
547	20161	16629
548	20202	16595
549	20236	16557
550	20270	16518
551	20309	16483
552	20342	16443
553	20373	16401
554	20419	16372
555	20452	16332
556	20483	16291
557	20519	16254
558	20554	16215
559	20590	16178
560	20623	16138
561	20654	16097
562	20691	16060
563	20729	16025
564	20765	15987
565	20803	15951
566	20831	15908
567	20860	15865
568	20909	15837
569	20941	15798
570	20974	15758
571	21008	15719
572	21037	15677
573	21076	15642
574	21109	15602
575	21144	15564
576	21199	15541
577	21227	15498
578	21259	15458
579	21298	15422
580	21336	15386
581	21364	15344
582	21404	15309
583	21433	15268
584	21468	15229
585	21500	15189
586	21532	15149
587	21566	15111
588	21617	15084
589	21666	15056
590	21701	15018
591	21735	14979
592	21771	14942
593	21804	14903
594	21842	14867
595	21883	14833
596	21913	14792
597	21947	14754
598	21983	14716
599	22014	14676
600	22050	14639
601	22096	14608
602	22130	14570
603	22159	14528
604	22191	14488
605	22223	14449
606	22252	14407
607	22286	14368
608	22322	14331
609	22351	14290
610	22384	14251
611	22413	14210
612	22456	14177
613	22489	14138
614	22524	14100
615	22563	14065
616	22602	14030
617	22641	13995
618	22675	13957
619	22713	13921
620	22750	13884
621	22784	13846
622	22821	13809
623	22855	13771
624	22894	13736
625	22943	13707
626	22984	13673
627	23021	13636
628	23050	13595
629	23085	13557
630	23118	13519
631	23171	13492
632	23206	13454
